time,open,high,low,close,INTSUM,INT,Plot,,Plot,Plot,,,,
1614509730,215.0289,215.0974,214.9852,215.0338,NaN,NaN,NaN,0.5280217324664545,0.25955274471093437,0.7964907202219746,NaN,0.40214406193956204,NaN,0.5
1614509760,215.0311,215.372,214.8757,215.1114,NaN,NaN,NaN,0.4555069652159606,0.32503123097753006,0.5859826994543912,NaN,0.3612753949707938,NaN,0.5
1614509790,215.1004,215.2714,215.0883,215.1951,NaN,NaN,NaN,0.44255100451649687,0.4430423250655594,0.44205968396743434,0.44255100451649687,0.33062957731714093,NaN,0.5
1614509820,215.2229,215.4352,215.1861,215.4136,NaN,NaN,NaN,0.39267356754922733,0.7734992206482334,0.011847914450221257,NaN,0.38720987344366836,NaN,0.5
1614509850,215.3966,215.4239,215.2203,215.3461,NaN,NaN,NaN,0.41779572297011713,0.6578685567968644,0.1777228891433698,NaN,0.4390382317934626,NaN,0.5
1614509880,215.346,215.346,214.9057,214.9646,NaN,NaN,NaN,0.38699368513403964,0.245269313147474,0.5287180571206053,0.38699368513403964,0.3944298463174633,NaN,0.5
1614509910,214.9579,215.1012,214.8662,214.9616,NaN,NaN,NaN,0.40626304279213415,0.21481877470672317,0.5977073108775451,NaN,0.3610178064026263,0.5,NaN
1614509940,214.9607,214.9996,214.7848,214.8754,NaN,NaN,NaN,0.4187571265912463,0.09446645602560129,0.7430477971568913,NaN,0.3303743555322039,NaN,0.5
1614509970,214.9007,214.9999,214.256,214.532,NaN,NaN,NaN,0.5,0,1,NaN,0.2966256081317623,NaN,0.5
1614510000,214.4675,214.6296,214.2939,214.5446,NaN,NaN,NaN,0.4858006564725955,0.027474726467786734,0.9441265864774043,NaN,0.2713814423438481,NaN,0.5
1614510030,214.5449,214.7917,214.5387,214.6858,NaN,NaN,NaN,0.40841536430691205,0.23782358100907341,0.5790071476047507,NaN,0.24823912623291264,NaN,0.5
1614510060,214.6858,215,214.6386,214.8529,NaN,NaN,NaN,0.41487672914484663,0.369757428041995,0.4599960302476982,NaN,0.2227741014685195,NaN,0.5
1614510090,214.8529,215,214.5001,214.9636,NaN,NaN,NaN,0.4006696955913849,0.47922299140725005,0.3221163997755197,0.4006696955913849,0.19985406238749695,NaN,0.5
1614510120,214.9296,214.9961,214.6852,214.6853,NaN,NaN,NaN,0.3135552301996566,0.3506083131370556,0.27650214726225764,NaN,0.18260906991248144,NaN,0.5
1614510150,214.7302,214.7928,214.5,214.6302,NaN,NaN,NaN,0.3106831729417323,0.3040424854699165,0.31732386041354804,0.3106831729417323,0.16683530226103524,NaN,0.5
1614510180,214.6883,214.6883,214.25,214.2721,NaN,NaN,NaN,0.33506351114262395,0,0.6701270222852479,NaN,0.14942241561899874,NaN,0.5
1614510210,214.3207,214.3395,213.6272,213.7,NaN,NaN,NaN,0.5,0,1,NaN,0.13372929002706727,NaN,0.5
1614510240,213.6958,213.8519,213.5238,213.6451,NaN,NaN,NaN,0.5,0,1,NaN,0.12208046918273802,NaN,0.5
1614510270,213.6414,213.6885,213.3758,213.5078,NaN,NaN,NaN,0.46208849619733017,0,0.9241769923946603,NaN,0.11134884863948029,NaN,0.5
1614510300,213.481,213.9556,213.4804,213.6605,NaN,NaN,NaN,0.4497579372939725,0.08717185992579511,0.8123440146621499,NaN,0.09956268084100699,NaN,0.5
1614510330,213.6659,214.1538,213.6659,214.0884,NaN,NaN,NaN,0.3773020653218164,0.3662544608057908,0.3883496698378421,NaN,0.08904217948310306,NaN,0.5
1614510360,214.0938,214.2502,213.72,214.1311,NaN,NaN,NaN,0.270555513272819,0.48549266205419755,0.05561836449144043,0.270555513272819,0.07949039753927627,NaN,0.5
1614510390,214.112,214.2475,213.9161,213.9521,NaN,NaN,NaN,0.2631294143693841,0.40340031993588193,0.1228585088028862,NaN,0.07229922422497159,NaN,0.5
